Song,Album Release Date,Hot100 Ranking Year,Decade,Season
So What,2020-09-25,2020,new millennium,Autumn
Secret,1994-10-25,1994,Nighnties,Autumn
Lady Marmalade,1974-09-13,1975,Seventies,Autumn
Titanium (feat. Sia),2011-08-24,2012,new millennium,Summer
Smokin Out the Window,2022-04-01,2022,new millennium,Spring
Show Me The Way,1975-01-01,1976,Seventies,Winter
Another Saturday Night,1964-03-01,1964,Sixties,Spring
Livin' la Vida Loca,1999-05-13,1999,Nighnties,Spring
Tired of Toein' the Line,2008-07-08,2008,new millennium,Summer
Hit the Road Jack,2021-09-10,2021,new millennium,Autumn
I'm Gonna Sit Right Down and Write Myself a Letter,1900-01-06,1957,Old,Winter
Truly Madly Deeply,1997-03-04,1998,Nighnties,Spring
Buttons And Bows,1989-06-13,1989,Eighties,Summer
The Entertainer - The Sting/Soundtrack Version/Orchestra Version,1974-01-01,1974,Seventies,Winter
Take A Back Road,2011-10-04,2011,new millennium,Autumn
I Like it Like That - 2019 - Remaster,1965-09-06,1965,Sixties,Autumn
Girl I'm Gonna Miss You (Originally Performed by Milli Vanilli) [Karaoke Version],2016-01-22,2016,new millennium,Winter
Please Come to Boston,1974-04-10,1974,Seventies,Spring
I'll Give All My Love to You,2004-01-13,2004,new millennium,Winter
Pop Muzik - 12 Inch Version,1979-01-01,1980,Seventies,Winter
Westside,1998-11-03,1998,Nighnties,Autumn
One Week,1998-07-07,1998,Nighnties,Summer
Feels Like Tonight,2006-06-17,2008,new millennium,Summer
Lips Of An Angel,2005-01-01,2007,new millennium,Winter
Secret Garden,1995-02-27,1997,Nighnties,Winter
Magnet and Steel,1978-05-09,1978,Seventies,Spring
Land of 1000 Dances,1966-05-22,1966,Sixties,Spring
Mama's Pearl,1970-09-08,1971,Seventies,Autumn
How Can I Fall ?,1988-01-01,1989,Eighties,Winter
Why Don't You Believe Me - Remastered,2020-01-31,2020,new millennium,Winter
What's Luv? (feat. Ja-Rule & Ashanti),2001-12-04,2002,new millennium,Winter
Rock and A Hard Place,2022-06-10,2022,new millennium,Summer
Tell Me Why - 2001 Remastered,2001-07-10,2001,new millennium,Summer
Does To Me (feat. Eric Church),2019-11-08,2020,new millennium,Autumn
Out Of My Head,1998-01-01,1999,Nighnties,Winter
The Night Chicago Died,2008-06-01,2008,new millennium,Summer
Heathens,2016-06-16,2017,new millennium,Summer
Better in Time,2007-05-12,2008,new millennium,Spring
Ramblin' Rose,1962-04-13,1962,Sixties,Spring
Don't Let the Sun Go Down on Me (Originally Performed by Elton John and George Michael) [Karaoke Version],2013-03-15,2013,new millennium,Spring
TiK ToK,2010-01-01,2010,new millennium,Winter
I'll Take You There - Live At Wattstax / 1972,2023-02-24,2023,new millennium,Winter
Stereo Hearts (feat. Adam Levine),2011-11-11,2012,new millennium,Autumn
Pony,1999-10-08,1999,Nighnties,Autumn
Serpentine Fire,1977-11-21,1978,Seventies,Autumn
Just Ask Your Heart,2021-05-28,2021,new millennium,Spring
Talk to Me,1986-01-07,1986,Eighties,Winter
Ya Ya,2014-08-15,2014,new millennium,Summer
Autumn Leaves,1957-09-09,1957,Fifties,Autumn
When I'm With You,1982-01-01,1989,Eighties,Winter
I'm Henry the 8th (Re-Record),1965-07-18,1965,Sixties,Summer
Happier Than Ever,2021-07-30,2021,new millennium,Summer
I Believe,1995-01-01,1995,Nighnties,Winter
What Kind of Fool,1989-10-03,1989,Eighties,Autumn
Be My Baby,2011-02-22,2011,new millennium,Winter
Nothing Compares 2 U,1990-07-01,1990,Nighnties,Summer
Boom! Shake the Room,1993-10-12,1993,Nighnties,Autumn
To Each His Own,1984-05-21,1984,Eighties,Spring
Ray of Light,1998-03-03,1998,Nighnties,Spring
Beautiful Life,1995-11-07,1996,Nighnties,Autumn
Breaking Us In Two,1982-01-01,1983,Eighties,Winter
Hey There Delilah,2005-01-01,2007,new millennium,Winter
PUFFIN ON ZOOTIEZ,2022-04-29,2022,new millennium,Spring
Gold Digger,2005-08-30,2006,new millennium,Summer
Heartbreaker,1979-01-01,1980,Seventies,Winter
Dancing On The Ceiling,1986-05-08,1986,Eighties,Spring
I'm A Fool - Performed live on The Ed Sullivan Show 9/19/65,2010-01-01,2010,new millennium,Winter
Chain Gang,1961-03-01,1961,Sixties,Spring
Anyone,2021-03-19,2021,new millennium,Spring
White Room,1968-07-01,1968,Sixties,Summer
Slide,1998-09-11,1999,Nighnties,Autumn
Infatuation,1984-01-08,1984,Eighties,Winter
In Dreams,1963-02-01,1963,Sixties,Winter
Hopelessly Devoted To You - From “Grease”,1978-04-04,1978,Seventies,Spring
We Belong Together,2005-04-12,2005,new millennium,Spring
Cold Water,2016-07-22,2016,new millennium,Summer
One Time,2009-01-01,2009,new millennium,Winter
Oops (Oh My) [feat. Missy Elliott],2002-04-02,2002,new millennium,Spring
Lover Please,2010-01-01,2010,new millennium,Winter
"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",1969-06-04,1969,Sixties,Summer
Always Something There to Remind Me - 2018 Remaster,1983-01-01,1983,Eighties,Winter
Count on Me,2010-10-05,2010,new millennium,Autumn
I Want To Be Wanted (Per Tutta La Vita),1960-10-10,1960,Sixties,Autumn
Kiss The Rain,1997-01-01,1998,Nighnties,Winter
Wildside,1991-04-10,1992,Nighnties,Spring
Young Love,1961-11-26,1961,Sixties,Autumn
Cold Rock a Party,1996-05-15,1997,Nighnties,Spring
Therefore I Am,2020-11-12,2021,new millennium,Autumn
Karaoke - Stay (I Missed You),2005-03-01,2005,new millennium,Spring
(Let Me Be Your) Teddy Bear,1957-06-20,1957,Fifties,Summer
Hero,2001-01-01,2002,new millennium,Winter
Play,2005-01-01,2005,new millennium,Winter
Love Drunk,2009-09-07,2009,new millennium,Autumn
Big Time - 2012 Remaster,1986-05-19,1987,Eighties,Spring
I Wish I Didn't Love You So,2000-02-14,2000,new millennium,Winter
Intentions (feat. Quavo),2020-02-14,2020,new millennium,Winter
Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),2021-05-28,2021,new millennium,Spring
Something Happened on the Way to Heaven - 2016 Remaster,1989-11-20,1990,Eighties,Autumn
I'm Your Baby Tonight (As Made Famous By Whitney Houston),2011-06-28,2011,new millennium,Summer
"Lean Wit It, Rock Wit It",2006-01-01,2006,new millennium,Winter
Rockstar,2005-09-26,2007,new millennium,Autumn
Lovin' On You,2019-11-08,2020,new millennium,Autumn
You're in My Heart (The Final Acclaim),2021-06-04,2021,new millennium,Summer
Bring The Boys Home,2007-11-16,2007,new millennium,Autumn
One Margarita,2020-08-07,2020,new millennium,Summer
According To You,2009-01-01,2010,new millennium,Winter
"Anything - Old Skool Radio 7"" Version",1994-05-10,1994,Nighnties,Spring
Don't Be Cruel (In the Style of Elvis Presley) [Karaoke Version],2013-05-16,2013,new millennium,Spring
The Thing,1950-04-20,1951,Fifties,Spring
All or Nothing,1988-11-14,1990,Eighties,Autumn
You're My Everything - Single Version/Mono,2007-07-31,2007,new millennium,Summer
Body Like A Back Road,2020-04-03,2020,new millennium,Spring
Informer,1993-06-12,1993,Nighnties,Summer
I Wish It Would Rain Down - 2016 Remaster,1989-11-20,1990,Eighties,Autumn
Honey-Babe,2017-02-10,2017,new millennium,Winter
I’m Yours,2023-05-19,2023,new millennium,Spring
Self Control,1984-04-07,1984,Eighties,Spring
Love Lies (with Normani),2018-02-14,2019,new millennium,Winter
Oh Sheila,1985-01-01,1985,Eighties,Winter
I Hope You’re Happy Now,2020-10-23,2020,new millennium,Autumn
So Into You,2000-01-01,2000,new millennium,Winter
Ironic - 2015 Remaster,1995-05-10,1996,Nighnties,Spring
Funky Cold Medina,1989-01-01,1989,Eighties,Winter
Over You,1968-06-06,1968,Sixties,Summer
The Thing,1950-04-03,1950,Fifties,Spring
Change the World,1999-10-12,1999,Nighnties,Autumn
One Man Band,2019-10-25,2020,new millennium,Autumn
I Remember Holding You,1989-02-14,1989,Eighties,Winter
No Diggity,1996-09-09,1996,Nighnties,Autumn
Your Body,2005-05-17,2005,new millennium,Spring
Fireflies,2009-01-01,2010,new millennium,Winter
Undo It,2009-05-14,2010,new millennium,Spring
Mean Woman Blues,2011-04-25,2011,new millennium,Spring
Life's Song,2021-06-25,2021,new millennium,Summer
Wipe Out - Hit Version / Extended Ending,2008-01-01,2008,new millennium,Winter
Soul Survivor,2005-02-16,2005,new millennium,Winter
For the First Time,2011-01-18,2011,new millennium,Winter
Lucy In The Sky With Diamonds,1975-05-19,1975,Seventies,Spring
Time of the Season - Mono Version,1968-03-11,1969,Sixties,Spring
careless,2022-10-06,2022,new millennium,Autumn
April Love,1993-01-01,1993,Nighnties,Winter
All For You,1997-01-01,1998,Nighnties,Winter
"I'd Do Anything For Love (But I Won't Do That) - Live From The Hudson Theatre, United States / 1993 / Remastered 2006",2021-03-12,2021,new millennium,Spring
Groove Me,1971-01-01,1971,Seventies,Winter
It's Gonna Work Out Fine,1963-02-16,1963,Sixties,Winter
It's Impossible,1970-12-01,1971,Seventies,Winter
Hey Baby (Drop It to the Floor) (feat. T-Pain),2011-06-17,2011,new millennium,Summer
All Star,1999-06-08,1999,Nighnties,Summer
If I Could Turn Back Time,1989-01-01,2002,Eighties,Winter
Every Woman in the World,1980-02-25,1981,Eighties,Winter
If U Seek Amy,2008-12-02,2009,new millennium,Winter
You're Makin' Me High,1996-06-18,1996,Nighnties,Summer
San Francisco (Be Sure to Wear Some Flowers In Your Hair),1967-11-01,1967,Sixties,Autumn
Time Of Our Lives - Radio Edit,2015-05-04,2015,new millennium,Spring
Take It Away - Remixed 2015,1982-04-26,1982,Eighties,Spring
The Cry of the Wild Goose,1961-03-20,1961,Sixties,Spring
Goldfinger,1988-05-23,1988,Eighties,Spring
(I've Been) Searchin' So Long,2018-04-03,2018,new millennium,Spring
Blow Me (One Last Kiss) [Pink],2012-10-01,2012,new millennium,Autumn
Dance Monkey,2019-10-17,2020,new millennium,Autumn
So Tired,1959-03-17,1959,Fifties,Spring
He's Mine,1995-06-01,1995,Nighnties,Summer
When I'm Gone,2002-11-12,2003,new millennium,Autumn
Diamonds,1987-02-13,1987,Eighties,Winter
Dilemma,2002-06-25,2002,new millennium,Summer
Get Down On It - Single Version,2018-05-25,2018,new millennium,Spring
All This Time,1991-03-03,1991,Nighnties,Spring
Hey Jude - Remastered 2015,2000-11-13,2000,new millennium,Autumn
I Don’t Care,2023-05-19,2023,new millennium,Spring
no tears left to cry,2018-08-17,2018,new millennium,Summer
Ice Ice Baby,2008-11-04,2008,new millennium,Autumn
Don't Let Me Down,2016-02-05,2016,new millennium,Winter
Ain't It Fun,2013-04-05,2013,new millennium,Spring
The Heart Of Rock And Roll,1983-07-12,1984,Eighties,Summer
Try Again,1983-03-14,1983,Eighties,Spring
Brave,2013-07-16,2013,new millennium,Summer
Ain’t No Sunshine - Lido Remix,2015-05-26,2015,new millennium,Spring
I Won't Hold You Back,1982-04-08,1983,Eighties,Spring
He's Got The Whole World In His Hands,2012-01-01,2012,new millennium,Winter
Why,2008-12-01,2008,new millennium,Winter
I Want To Come Over,1995-01-01,1996,Nighnties,Winter
No Such Thing,2001-08-16,2002,new millennium,Summer
Home,2012-01-01,2012,new millennium,Winter
A Very Special Love Song,1970-07-15,1974,Seventies,Summer
Crazy,1993-01-01,1994,Nighnties,Winter
Bad Romance,2009-11-05,2010,new millennium,Autumn
Rainy Night in Georgia,1970-08-20,1970,Seventies,Summer
Waiting for Tonight,1999-06-01,2000,Nighnties,Summer
Rather Be (feat. Jess Glynne),2014-01-17,2014,new millennium,Winter
(I Love You) For Sentimental Reasons,1954-01-01,1954,Fifties,Winter
Before The Next Teardrop Falls,1975-07-14,1975,Seventies,Summer
Baby I'm Yours,1992-01-01,1993,Nighnties,Winter
Long Tall Glasses (I Can Dance) - Remastered,1974-05-17,1975,Seventies,Spring
The Old Lamp-Lighter,2000-05-09,2000,new millennium,Spring
Down,2009-01-01,2009,new millennium,Winter
Big Energy,2021-09-24,2022,new millennium,Autumn
One Fine Day,1980-03-10,1980,Eighties,Spring
Penny Lover,1983-01-01,1985,Eighties,Winter
Helen Wheels,2001-05-07,2001,new millennium,Spring
Patricia,1998-10-27,1998,Nighnties,Autumn
Keep On Smilin',1974-01-01,1974,Seventies,Winter
Boogie Wonderland,1979-06-01,1979,Seventies,Summer
Kind of a Drag,2015-05-06,2015,new millennium,Spring
Devil Inside,1987-05-05,1988,Eighties,Spring
Soul Man,1967-06-08,1967,Sixties,Summer
i'm yours sped up,2022-10-28,2022,new millennium,Autumn
Into You,2016-05-20,2016,new millennium,Spring
Lost In Love,1980-02-25,1980,Eighties,Winter
Hot Boyz,1998-03-31,2000,Nighnties,Spring
Everytime I Think Of You - 2022 Remaster,1981-10-02,1981,Eighties,Autumn
King for a Day,1985-09-20,1986,Eighties,Autumn
"Say You, Say Me",1986-04-05,1986,Eighties,Spring
Bad Boys (Theme from COPS),2010-12-14,2010,new millennium,Winter
Winning,1981-04-29,1981,Eighties,Spring
Cleanin' Out My Closet,2002-05-26,2002,new millennium,Spring
Breakfast At Tiffany's,1995-01-01,1996,Nighnties,Winter
Pick Up the Pieces,1974-06-12,1975,Seventies,Summer
I Wanna Be Your Lover,1979-10-19,1980,Seventies,Autumn
Feels So Right,1980-03-09,1981,Eighties,Spring
Drops of Jupiter (Tell Me),2001-03-27,2001,new millennium,Spring
Disturbia,2008-06-02,2008,new millennium,Summer
Love Is Blue - Remastered,2018-08-20,2018,new millennium,Summer
I Get the Bag (feat. Migos),2017-10-13,2018,new millennium,Autumn
Like I'm Gonna Lose You (feat. John Legend),2015-01-09,2016,new millennium,Winter
We Paid,2021-03-26,2021,new millennium,Spring
Slow Jamz,2004-02-10,2004,new millennium,Winter
Along Comes Mary,1966-07-10,1966,Sixties,Summer
I Don't Mind (feat. Juicy J),2014-11-21,2015,new millennium,Autumn
Chasing After You,2021-10-15,2021,new millennium,Autumn
Things I'd Like to Say (A Tribute to New Colony Six),2012-11-05,2012,new millennium,Autumn
Jumpman,2015-09-20,2016,new millennium,Autumn
How Will I Know,1985-02-14,1986,Eighties,Winter
Back At One,1999-09-21,1999,Nighnties,Autumn
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",2004-03-09,2004,new millennium,Spring
Young Dumb & Broke,2017-04-27,2018,new millennium,Spring
Escape,2001-01-01,2002,new millennium,Winter
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",1990-01-01,1990,Nighnties,Winter
Keep On Truckin',1973-01-01,1973,Seventies,Winter
It's Just a Matter of Time - Rerecorded,2009-01-01,2009,new millennium,Winter
Cotton Eye Joe,1995-04-03,1995,Nighnties,Spring
Incense And Peppermints,1967-06-14,1967,Sixties,Summer
If You Wanna Be Happy,2012-01-10,2012,new millennium,Winter
Rocket 2 U,2001-01-01,2001,new millennium,Winter
Motownphilly,1991-04-30,1991,Nighnties,Spring
Tell Me,1995-07-25,1996,Nighnties,Summer
No More Lonely Nights (Ballad) - Remastered 1993,1984-10-22,1985,Eighties,Autumn
I Write the Songs,1975-06-09,1976,Seventies,Summer
Rubber Ball,1961-01-01,1961,Sixties,Winter
Make It Hot (feat. Missy Elliott & Mocha),1998-08-14,1998,Nighnties,Summer
(You're The) Devil in Disguise (In the Style of Elvis Presley) [Karaoke Version],2013-05-16,2013,new millennium,Spring
Alley Cat,2020-12-09,2020,new millennium,Winter
Dirt Off Your Shoulder,2003-11-14,2004,new millennium,Autumn
Hay,1996-01-01,1996,Nighnties,Winter
Chattanoogie Shoe Shine Boy - 1949 Single Version,1991-01-01,1991,Nighnties,Winter
Give It To You,1999-05-25,1999,Nighnties,Spring
Can't Get Enough of Your Love (In the Style of Taylor Dayne) [Karaoke Version],2013-05-16,2013,new millennium,Spring
Rock 'n' Roll Fantasy - 2009 Remaster,1979-06-07,1979,Seventies,Summer
Knockin' Boots,2020-08-07,2020,new millennium,Summer
Love Is Here And Now You're Gone,1967-01-23,1967,Sixties,Winter
Snap Yo Fingers,2006-05-02,2006,new millennium,Spring
Sorry,2016-04-23,2016,new millennium,Spring
Same Guy (feat. Adam Levine),2020-12-11,2020,new millennium,Winter
Motivation,2011-01-01,2011,new millennium,Winter
God's Plan,2018-06-29,2018,new millennium,Summer
Looking For A New Love - Radio Edit,2000-01-01,2000,new millennium,Winter
Only in My Dreams,1987-03-06,1987,Eighties,Spring
Unchained Melody,1946-04-15,1955,Fourties,Spring
I Will Survive - Single Version,2000-01-01,2000,new millennium,Winter
Wolves,2017-10-25,2018,new millennium,Autumn
Body Bumpin' (Yippie-Yi-Yo),1998-03-24,1998,Nighnties,Spring
Crying in the Rain,1962-06-01,1962,Sixties,Summer
New Moon on Monday - 2010 Remaster,1983-11-21,1984,Eighties,Autumn
The Valley Road,1988-03-07,1988,Eighties,Spring
Party Like A Rock Star,2007-01-01,2007,new millennium,Winter
Don't Tell 'Em,2015-12-04,2015,new millennium,Winter
"Chi-Baba, Chi-Baba (My Bambino Go To Sleep)",2010-10-26,2010,new millennium,Autumn
Stay,2023-05-19,2023,new millennium,Spring
If It Isn't Love,1988-01-01,1988,Eighties,Winter
Frankenstein,1972-11-30,1973,Seventies,Autumn
Piece of My Heart,1968-08-12,1968,Sixties,Summer
Full Moon,2002-02-25,2002,new millennium,Winter
Get Low featuring Ying Yang Twins,2011-03-15,2011,new millennium,Spring
Can't You See,2022-06-24,2022,new millennium,Summer
Little Lies - 2017 Remaster,1987-04-13,1987,Eighties,Spring
Beautiful,2002-01-01,2003,new millennium,Winter
Pride And Joy - Album Version / Mono,1963-12-01,1963,Sixties,Winter
Shakedown,2003-11-04,2003,new millennium,Autumn
"Get Down, Get Down (Get on the Floor) (Rercorded)",2002-11-01,2002,new millennium,Autumn
Mood Swings (feat. Lil Tjay),2020-07-03,2020,new millennium,Summer
Letters from Home,2004-04-20,2004,new millennium,Spring
Feel So Close - Radio Edit,2012-10-29,2012,new millennium,Autumn
Cruel Summer,1984-01-01,1984,Eighties,Winter
I’m Yours,2023-05-19,2023,new millennium,Spring
The Writing On The Wall,2005-06-14,2005,new millennium,Summer
Simple,2019-02-15,2019,new millennium,Winter
Right Here Waiting,1989-01-01,1989,Eighties,Winter
Secret Love,1953-11-09,1954,Fifties,Autumn
Wasted On You,2021-01-08,2022,new millennium,Winter
Jumper - 1998 Edit,1997-04-08,1999,Nighnties,Spring
Photograph,2023-05-19,2023,new millennium,Spring
You and Me,1977-04-04,1977,Seventies,Spring
(There's) No Gettin' Over Me,1981-08-01,1981,Eighties,Summer
Beach Baby,1999-05-05,1999,Nighnties,Spring
Sweet Child O' Mine,1987-07-21,1988,Eighties,Summer
Without You,1959-03-05,1961,Fifties,Spring
Mama Didn't Lie,1997-08-26,1997,Nighnties,Summer
Timber (feat. Ke$ha),2012-04-06,2014,new millennium,Spring
Got To Get You Into My Life - Remastered 2009,1966-08-05,1976,Sixties,Summer
"Oh, Pretty Woman",1962-04-11,1964,Sixties,Spring
Rock Me Amadeus,1985-02-19,1986,Eighties,Winter
"When You're Hot, You're Hot",1995-05-13,1995,Nighnties,Spring
Deuces (feat. Tyga & Kevin McCall),2011-03-22,2011,new millennium,Spring
When the Lights Go Out - Radio Edit,1998-06-22,1998,Nighnties,Summer
The Way I Are - Timbaland vs. Nephew featuring Keri Hilson & D.O.E,2007-01-01,2008,new millennium,Winter
"Gypsys, Tramps & Thieves",1971-01-01,1971,Seventies,Winter
Number One Spot,2004-01-01,2005,new millennium,Winter
The Wayward Wind,2015-08-21,2015,new millennium,Summer
Right Here Right Now,1991-01-28,1991,Nighnties,Winter
Elevators (Me & You),1996-08-27,1996,Nighnties,Summer
Michael (Row The Boat Ashore),2007-01-01,2007,new millennium,Winter
I Don't Wanna Live Without Your Love,1988-06-20,1988,Eighties,Summer
I Write Sins Not Tragedies,2005-09-27,2006,new millennium,Autumn
If You're Not The One,2002-01-01,2003,new millennium,Winter
Take These Chains From My Heart,2009-06-02,2009,new millennium,Summer
Robbery,2019-03-08,2019,new millennium,Spring
Don't - Originally performed by Bryson Tiller,2016-01-25,2016,new millennium,Winter
Bohemian Rhapsody - Remastered 2011,1975-11-21,1976,Seventies,Autumn
Guilty (Duet with Barry Gibb),1989-10-03,1989,Eighties,Autumn
I'm Already There - In the Style of Lonestar (Karaoke Version Teaching Vocal),2010-01-01,2010,new millennium,Winter
Lose Control (feat. Ciara & Fat Man Scoop),2005-07-04,2005,new millennium,Summer
Brave,2013-07-16,2014,new millennium,Summer
Congratulations,2016-12-09,2017,new millennium,Winter
Feel Good Inc.,2005-05-23,2006,new millennium,Spring
She Wants To Dance With Me,1988-11-26,1989,Eighties,Autumn
Without Me,2002-05-26,2002,new millennium,Spring
This Is Why I'm Hot,2007-01-01,2007,new millennium,Winter
Dancing Machine,1974-09-05,1974,Seventies,Autumn
I Got 5 On It,1995-07-04,1995,Nighnties,Summer
Beautiful Day,2000-01-01,2001,new millennium,Winter
Magic (feat. Rivers Cuomo),2010-04-27,2010,new millennium,Spring
Smack That,2006-01-01,2007,new millennium,Winter
Black Widow,2014-01-01,2014,new millennium,Winter
What Was I Thinkin',2003-01-01,2003,new millennium,Winter
Speechless,2018-06-22,2019,new millennium,Summer
With You,2003-05-20,2004,new millennium,Spring
All I Wanna Do Is Make Love To You,1990-03-25,1990,Nighnties,Spring
Adventure of a Lifetime,2015-12-04,2016,new millennium,Winter
Get Into It (Yuh),2021-06-25,2022,new millennium,Summer
Right Above It,2010-01-01,2010,new millennium,Winter
A Tear Fell,1956-08-01,1956,Fifties,Summer
Say Something,2019-04-19,2019,new millennium,Spring
Wicked,2016-04-13,2016,new millennium,Spring
"What'd I Say, Pt. 1 & 2 - 2005 Mono Remaster",2005-09-20,2005,new millennium,Autumn
Tequila,2018-06-22,2018,new millennium,Summer
Toxic,2003-11-13,2004,new millennium,Autumn
Counting Blue Cars (Tell Me Your Thoughts On God),1995-01-01,1996,Nighnties,Winter
I'll Be There For You - (Karaoke Version ) [In The Style Of Bon Jovi],2010-09-28,2010,new millennium,Autumn
Heartaches By The Number,1995-01-01,1995,Nighnties,Winter
"Up, Up and Away",1967-04-13,1967,Sixties,Spring
She Drives Me Crazy,1988-01-01,1989,Eighties,Winter
More Stars (Abba Medley) - Original Single Version,1984-04-13,1984,Eighties,Spring
All Falls Down,2004-02-10,2004,new millennium,Winter
Crash and Burn,1999-11-09,2000,Nighnties,Autumn
Funkdafied,1994-06-28,1994,Nighnties,Summer
Hot Rod Lincoln,1971-11-01,1972,Seventies,Autumn
Slow Motion,2015-06-23,2015,new millennium,Summer
(Oh) Pretty Woman - 2015 Remaster,1982-04-14,1982,Eighties,Spring
The Warrior (feat. Patty Smyth),1984-08-21,1984,Eighties,Summer
A Groovy Kind of Love - Remastered,2015-11-05,2015,new millennium,Autumn
House Of The Rising Sun,2018-05-11,2018,new millennium,Spring
Where Do Broken Hearts Go,1987-06-02,1988,Eighties,Summer
Cherry Bomb,1987-03-11,1988,Eighties,Spring
Yesterday's Songs,1981-11-28,1982,Eighties,Autumn
Lean on Me,1972-05-01,1972,Seventies,Spring
Good Girls Go Bad (feat. Leighton Meester),2009-07-07,2009,new millennium,Summer
I'm Too Sexy (As Made Famous by Right Said Fred),2011-07-05,2011,new millennium,Summer
Heat Of The Night,1987-03-30,1987,Eighties,Spring
Something So Strong,1986-01-01,1987,Eighties,Winter
Hangin' Tough,1988-09-02,1989,Eighties,Autumn
This Is How We Roll,2013-01-01,2014,new millennium,Winter
Lovers And Friends,2004-11-16,2005,new millennium,Autumn
New Sensation,1987-04-12,1988,Eighties,Spring
Sweet Nothin's,1960-08-01,1960,Sixties,Summer
An Innocent Man,1983-08-08,1984,Eighties,Summer
Beer Never Broke My Heart,2019-11-08,2019,new millennium,Autumn
Serenade Of The Bells,1953-01-01,1953,Fifties,Winter
Keep Coming Back,1997-01-01,1997,Nighnties,Winter
Goody Two Shoes,1982-04-14,1983,Eighties,Spring
Who Says,2009-11-13,2009,new millennium,Autumn
I Got The Hook-Up!,2005-01-01,2005,new millennium,Winter
Love Shack,1989-06-23,1989,Eighties,Summer
Hit Me With Your Best Shot,1980-08-05,1981,Eighties,Summer
I know (You Don't Love Me No More),1994-01-01,1994,Nighnties,Winter
Indiana Wants Me - Commercial Version,2008-06-27,2008,new millennium,Summer
"Green, Green",1963-10-01,1963,Sixties,Autumn
Love Will Conquer All,1986-04-11,1986,Eighties,Spring
MAMIII,2022-05-13,2022,new millennium,Spring
Disco Lady,1976-02-08,1976,Seventies,Winter
Things A Man Oughta Know,2021-02-19,2021,new millennium,Winter
You Belong to Me,1978-01-06,1978,Seventies,Winter
Tonight You Belong To Me,2012-01-01,2012,new millennium,Winter
Weekend in New England,1976-01-06,1977,Seventies,Winter
Memories Are Made Of This,1964-02-09,1964,Sixties,Winter
Sealed With A Kiss,1993-01-01,1993,Nighnties,Winter
All You Wanted,2001-07-31,2002,new millennium,Summer
Stuck With You,1986-01-01,1986,Eighties,Winter
Tonight Tonight,2011-11-25,2011,new millennium,Autumn
I Hope,2020-06-19,2020,new millennium,Summer
Jacob's Ladder,1986-01-01,1987,Eighties,Winter
Hold My Hand,1994-07-01,1995,Nighnties,Summer
Fire,1974-06-01,1975,Seventies,Summer
Clean up Woman,1972-04-12,1972,Seventies,Spring
Let Me In,1999-10-04,1999,Nighnties,Autumn
Bad Habit,2022-06-29,2022,new millennium,Summer
September Morn,1979-12-22,1980,Seventies,Winter
Little White Lies,1955-12-28,1955,Fifties,Winter
The World I Know,1995-03-14,1996,Nighnties,Spring
Here I Am (Come And Take Me),2000-05-18,2000,new millennium,Spring
Maneater,1982-10-04,1983,Eighties,Autumn
I Wanna Get Next To You,1976-01-01,1977,Seventies,Winter
Raise Your Glass,2013-11-01,2013,new millennium,Autumn
Cheerleader - Felix Jaehn Remix Radio Edit,2015-10-16,2015,new millennium,Autumn
No One Is To Blame,1986-06-15,1986,Eighties,Summer
Bitch Better Have My Money,2015-03-26,2015,new millennium,Spring
Oh No,1981-01-01,1982,Eighties,Winter
What About Us - Live,2020-11-13,2020,new millennium,Autumn
Mr. Roboto,1983-01-01,1983,Eighties,Winter
Troglodyte (Cave Man),1972-03-04,1972,Seventies,Spring
That's the Way It Is,1999-06-21,2000,Nighnties,Summer
Anticipation,1971-11-01,1972,Seventies,Autumn
Daydream Believer,2000-01-01,2000,new millennium,Winter
Sing a Song,1975-11-11,1976,Seventies,Autumn
Shut Up And Drive,2008-06-02,2008,new millennium,Summer
Don't Stop - Live 1977,1977-02-04,1977,Seventies,Winter
What Will My Mary Say,2004-05-04,2004,new millennium,Spring
Time Will Reveal,1983-09-24,1984,Eighties,Autumn
The Name Game,1965-01-01,1965,Sixties,Winter
Cruisin',1979-05-22,1980,Seventies,Spring
Misty Blue,1976-03-01,1976,Seventies,Spring
Teen-Age Crush,2011-01-01,2011,new millennium,Winter
Days of Wine and Roses,1958-05-14,1963,Fifties,Spring
Message to Michael,1989-05-14,1989,Eighties,Spring
Endless Sleep,1958-12-24,1958,Fifties,Winter
The Air That I Breathe - 2008 Remaster,1974-03-01,1974,Seventies,Spring
Can't Stop the Feeling - Tribute Justin Timberlake,2017-05-10,2017,new millennium,Spring
Then,2009-06-30,2009,new millennium,Summer
Lightnin' Strikes,2018-07-20,2018,new millennium,Summer
Special Lady,1996-01-01,1996,Nighnties,Winter
High Fashion (feat. Mustard),2019-12-06,2020,new millennium,Winter
Angie,1973-08-31,1973,Seventies,Summer
Cool It Now,1984-01-01,1985,Eighties,Winter
All I Wanna Do,1993-08-03,1994,Nighnties,Summer
Put Your Head on My Shoulder,1966-08-09,1975,Sixties,Summer
Gonna Make You Sweat (Everybody Dance Now) - Clivilless & Cole DJ's Choice Mix,1990-09-08,1991,Nighnties,Autumn
Rock Your Body,2002-11-04,2003,new millennium,Autumn
