Song,Artist(s) Genres,Genres count,Weight,total weight of genres
Hips Don't Lie (feat. Wyclef Jean),"{' rap kreyol', 'dance pop', ' colombian pop', ' latin pop', ' pop'}",5,970,4850
SICKO MODE,"{' hip hop', ' rap', 'slap house'}",3,1095,3285
Keep Ya Head Up,"{' rap', 'gangster rap', ' hip hop', ' g funk', ' west coast rap'}",5,1383,6915
Rhythm Is Gonna Get You,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' disco'}",5,1851,9255
Giving It Up For Your Love,"{'electric blues', ' southern rock', ' classic texas country', ' harmonica blues', ' modern blues', ' country rock'}",6,294,1764
Candy Shop,"{' queens hip hop', ' rap', 'gangster rap', ' east coast hip hop', ' hip hop', ' pop rap'}",6,1849,11094
Listen To Your Heart,"{' europop', 'swedish pop'}",2,52,104
"Woodstock (Originally Performed by Crosby, Stills, Nash & Young) [Karaoke Version]",{'karaoke'},1,177,177
Children,"{' eurodance', ' dream trance', 'trance'}",3,32,96
In My House - Single Version,"{'p funk', ' classic soul', ' p funk', ' quiet storm', ' disco', ' freestyle', ' urban contemporary', ' post-disco', ' funk', 'disco', ' motown', ' new jack swing', ' soul'}",13,2540,33020
Torn Between Two Lovers,,0,0,0
Baby Talk,"{' classic garage rock', ' rock-and-roll', ' surf music', ' bubblegum pop', 'folk rock', ' sunshine pop', ' doo-wop', ' rockabilly', ' merseybeat'}",9,1238,11142
If You Can Want,"{' classic soul', 'soul', ' quiet storm', ' motown', 'motown', ' soul'}",6,1387,8322
I Need a Girl (Part One) - In the Style of P.Diddy Featuring Usher & Loon (Karaoke Version Teaching Vocal),{'karaoke'},1,177,177
Everyday - 2015 Remastered,"{' rock drums', 'soft rock'}",2,268,536
Home,"{' neo mellow', 'alternative metal', ' post-grunge', ' pop rock', 'neo mellow', ' alternative metal'}",6,424,2544
Bad - 2012 Remaster,"{' r&b', 'soul'}",2,955,1910
Hey Ya!,"{' dirty south rap', ' rap', 'southern hip hop', ' hip hop', ' atl hip hop', ' old school atlanta hip hop'}",6,1634,9804
When You Believe (Originally Performed by Mariah Carey & Whitney Houston) [Karaoke Version] - 1999,,0,0,0
When I'm Back On My Feet Again,{'soft rock'},1,253,253
I Only Have Eyes for You,{'doo-wop'},1,113,113
What's Left Of Me,"{'idol', ' post-teen pop'}",2,53,106
Aint No Other Man (In The Style Of Christina Aguilera),,0,0,0
You Can Do Magic,"{'heartland rock', ' soft rock', ' classic rock', ' album rock', ' mellow gold', ' folk rock'}",6,3233,19398
16 Candles,{'doo-wop'},1,113,113
Hotel (feat. R. Kelly),"{' philly rap', ' trap', ' battle rap', 'gangster rap', ' hardcore hip hop', ' hip pop', ' southern hip hop'}",7,885,6195
A Fool Never Learns - Single Version,"{'easy listening', 'adult standards', ' adult standards', ' easy listening'}",4,826,3304
I Want to Take You Higher,"{' classic soul', ' rock-and-roll', ' southern soul', ' disco', 'rock-and-roll', 'disco', ' soul'}",7,1583,11081
It Hurts To Be In Love,"{'rock-and-roll', ' brill building pop', ' adult standards', ' rockabilly', ' merseybeat'}",5,918,4590
I'm Doin' Fine Now (Originally Performed By New York City) [Karaoke Backing Track],,0,0,0
She's About a Mover,{'cosmic american'},1,1,1
Why Do Fools Fall In Love,"{' soft rock', 'soul', ' quiet storm', ' disco', ' motown', ' adult standards'}",6,2267,13602
Pour It Up,"{'pop', ' urban contemporary', 'urban contemporary', ' pop', ' barbadian pop'}",5,1885,9425
William Tell Overture,,0,0,0
Mexico,,0,0,0
Ballin’,"{'melodic rap', ' trap', ' cali rap', ' rap', ' pop rap', ' southern hip hop'}",6,1564,9384
Beachin',"{' country', ' contemporary country', 'country road'}",3,451,1353
Mesmerize,"{' r&b', ' queens hip hop', ' rap', 'gangster rap', ' hip pop', ' pop rap', ' urban contemporary', ' east coast hip hop', ' hip hop', ' dance pop'}",10,3782,37820
What It Takes,"{' rock', ' classic rock', ' album rock', 'rock', 'classic rock', ' hard rock'}",6,2338,14028
Diamonds,"{'pop', ' urban contemporary', 'urban contemporary', ' pop', ' barbadian pop'}",5,1885,9425
Speedy Gonzales,"{' rock-and-roll', ' easy listening', 'rockabilly', 'rock-and-roll', ' adult standards', ' rockabilly'}",6,1393,8358
Underneath the Arches,{'music hall'},1,4,4
It's Over Now,"{' urban contemporary', ' r&b', ' dirty south rap', ' boy band', ' contemporary r&b', 'urban contemporary', ' atl hip hop', 'hip pop'}",8,2287,18296
Look What God Gave Her,"{' modern country rock', 'country road', ' country', ' contemporary country'}",4,498,1992
ZEZE (feat. Travis Scott & Offset),"{' trap', ' rap', ' hip hop', ' slap house', ' florida drill', ' melodic rap', ' trap latino', 'florida rap', ' atl hip hop', ' miami hip hop'}",10,1721,17210
Woman,"{' dance pop', 'pop'}",2,1142,2284
Harbor Lights,"{' rock-and-roll', ' easy listening', 'rockabilly', 'rock-and-roll', ' adult standards', ' rockabilly'}",6,1393,8358
Spice Up Your Life,"{' pop', ' dance pop', 'girl group'}",3,1148,3444
Crush on You,"{'glam metal', ' classic soul', ' rock', ' post-punk', ' modern rock', ' memphis soul', 'hard rock', ' folk rock', 'miami bass', ' new wave pop', ' hard rock', ' new wave', ' soft rock', 'dance pop', ' east coast hip hop', ' pop rock', ' progressive rock', ' blues', ' dance pop', ' girl group', 'heartland rock', ' r&b', ' neon pop punk', ' art rock', ' rap', 'gangster rap', ' permanent wave', ' disco', ' album rock', ' pop rap', 'rock', ' heartland rock', ' folk', ' pop', ' synthpop', ' dirty south rap', 'folk rock', ' classic uk pop', ' funk', ' classic rock', ' british invasion', ' pop punk', 'british blues', ' country rock', 'instrumental soul', ' philly soul', ' adult standards', 'beach music', ' new romantic', 'new wave pop', ' quiet storm', 'neo mellow', ' hip pop', ' singer-songwriter', 'new wave', 'british folk', ' trap queen', ' southern hip hop', ' instrumental funk', 'soft rock', ' symphonic rock', ' new jack swing', ' soul', ' jangle pop', ' psychedelic rock', ' rock-and-roll', ' southern soul', ' lilith', ' instrumental soul', ' urban contemporary', 'karaoke', 'indie soul', 'crunk', 'soul', ' dance rock', ' glam metal', ' blues rock', ' zolo', ' hip hop', ' mellow gold', ' candy pop', 'contemporary r&b', ' neo soul'}",83,17886,1484538
I Wish,{'west coast rap'},1,3,3
Everybody Loves Somebody,"{' easy listening', 'vocal jazz', ' vocal jazz', 'adult standards', ' lounge', ' adult standards'}",6,930,5580
Walk On The Wild Side,"{' contemporary post-bop', ' jazz blues', ' jazz organ', ' hammond organ', 'soul jazz', ' jazz funk', ' jazz', ' bebop'}",8,67,536
Rock The Boat,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' dance pop'}",5,2272,11360
"This Ain't A Scene, It's An Arms Race","{'pop punk', ' modern rock', ' rock', ' pop', ' emo'}",5,1316,6580
Because of You,"{'talent show', ' talent show', ' pop', ' dance pop', 'pop'}",5,1772,8860
Rumors Are Flying,"{'space age pop', ' honky-tonk piano'}",2,17,34
Cover Me,"{'heartland rock', ' rock', ' permanent wave', ' mellow gold', ' singer-songwriter'}",5,2258,11290
On The Floor,"{' urban contemporary', ' miami hip hop', ' dance pop', 'pop'}",4,1805,7220
Nightshift,"{' soft rock', 'soul', ' funk', ' quiet storm', ' disco', ' mellow gold', ' motown', ' adult standards'}",8,3216,25728
Should've Never Let You Go,"{' bubblegum pop', ' soft rock', 'easy listening', ' brill building pop', ' adult standards', ' rockabilly'}",6,1716,10296
Hot Stuff,"{'new wave pop', ' soft rock', ' disco', 'disco', ' new wave pop', ' hi-nrg', ' adult standards'}",7,2108,14756
TRUE,"{'idol', ' neo mellow'}",2,65,130
Do I Have To Say The Words?,"{'heartland rock', 'soft rock', ' soft rock', ' classic canadian rock', ' canadian singer-songwriter', ' canadian pop', ' mellow gold', ' heartland rock'}",8,2368,18944
Headstrong,"{' alternative metal', ' nu metal', 'post-grunge'}",3,147,441
Dance with Me,,0,0,0
Superstar,{'surf music'},1,13,13
Unforgettable,"{'melodic rap', ' trap', ' rap', ' hip hop', ' pop rap', ' southern hip hop'}",6,2017,12102
What The World Needs Now Is Love,{'brill building pop'},1,8,8
Rumors,{'new jack swing'},1,45,45
Sea Cruise,"{' doo-wop', ' rhythm and blues', 'rock-and-roll'}",3,276,828
Real Real Real,"{' dance rock', 'britpop', ' grebo'}",3,66,198
I Touch Myself,"{' australian rock', 'new wave pop'}",2,320,640
Back for Good - Radio Mix,"{' europop', ' boy band', 'talent show'}",3,161,483
Let's Dance,"{' rock-and-roll', 'merseybeat'}",2,352,704
Space Oddity - 2015 Remaster,"{' glam rock', ' classic rock', ' rock', ' permanent wave', 'art rock'}",5,1559,7795
You've Lost That Lovin' Feeling,"{'heartland rock', 'soft rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' yacht rock', ' heartland rock'}",10,4581,45810
My Songs Know What You Did In The Dark (Light Em Up),"{'pop punk', ' modern rock', ' rock', ' pop', ' emo'}",5,1316,6580
Calling All Angels,"{' neo mellow', ' pop rock', 'neo mellow', ' pop', ' dance pop', 'pop'}",6,1968,11808
Unfaithful,"{'pop', ' urban contemporary', 'urban contemporary', ' pop', ' barbadian pop'}",5,1885,9425
Little Things,"{' bubblegum pop', ' easy listening', 'rock-and-roll', ' adult standards', ' merseybeat'}",5,1042,5210
Demons,"{' modern rock', ' rock', 'pop'}",3,1295,3885
Shut Down - 2021 Stereo Mix,"{' psychedelic rock', ' rock', ' folk rock', 'baroque pop', ' baroque pop', 'folk rock', ' sunshine pop', ' classic rock', ' mellow gold'}",9,2725,24525
The Tide Is High - Edit,"{'new wave pop', ' rock', ' permanent wave', ' candy pop', ' power pop'}",5,1234,6170
Where My Girls At,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' girl group'}",5,1850,9250
The Way I Feel About You,"{' urban contemporary', ' r&b', 'new jack swing', ' contemporary r&b', ' minneapolis sound'}",5,1628,8140
High School Dance,"{' disco', 'classic soul'}",2,390,780
"Colors Of The Wind - End Title - From ""Pocahontas"" Soundtrack","{' urban contemporary', 'contemporary r&b', ' quiet storm'}",3,1039,3117
Be Like That,"{' nu metal', ' rock', 'post-grunge', ' alternative metal'}",4,771,3084
Big Poppa - 2005 Remaster,"{' rap', 'gangster rap', ' east coast hip hop', ' hardcore hip hop', ' hip hop'}",5,1479,7395
Making Love Out of Nothing at All,{'soft rock'},1,253,253
Whatcha Say,"{' dance pop', 'pop'}",2,1142,2284
Tragedy,{'traditional rockabilly'},1,4,4
Don't It Make My Brown Eyes Blue (Karaoke in the style of Crystal Gayle),{'karaoke'},1,177,177
Hotel (feat. R.Kelly),"{' philly rap', ' trap', ' battle rap', 'gangster rap', ' hardcore hip hop', ' hip pop', ' southern hip hop'}",7,885,6195
Bang a Gong (Get It On) - 2003 Remaster,"{' protopunk', 'glam rock', ' rock', ' classic rock'}",4,1350,5400
Rude,"{' reggae fusion', 'pop'}",2,606,1212
Broken Hearted Melody,"{' jazz', 'vocal jazz', ' torch song'}",3,39,117
Always On My Mind,"{' nashville sound', 'outlaw country', ' classic country pop', ' country', ' classic texas country', ' singer-songwriter', ' country rock'}",7,980,6860
Where Have You Been,"{'pop', ' urban contemporary', 'urban contemporary', ' pop', ' barbadian pop'}",5,1885,9425
BedRock,"{'dirty south rap', ' urban contemporary', ' trap', ' r&b', ' rap', ' pop rap', ' southern hip hop'}",7,2798,19586
When You Love a Woman,"{'heartland rock', 'soft rock', ' soft rock', ' classic rock', ' rock', ' album rock', ' mellow gold', ' heartland rock', ' hard rock'}",9,4319,38871
Jungle Love,"{'quiet storm', ' minneapolis sound', ' funk', ' quiet storm', ' synth funk', ' new jack swing', 'funk', ' funk rock'}",8,830,6640
You Must Have Been a Beautiful Baby,"{' rock-and-roll', ' easy listening', 'lounge', ' vocal jazz', ' adult standards'}",5,1097,5485
Always,"{' synthpop', ' new romantic', 'new wave pop', ' new wave'}",4,899,3596
"Turn Around, Look at Me","{' sunshine pop', 'classic garage rock', ' bubblegum pop'}",3,249,747
We Are Family - 1995 Remaster,"{'soul', ' funk', ' quiet storm', ' disco', ' philly soul'}",5,1215,6075
A - You're Adorable (with The Fontane Sisters) - Remastered,"{' easy listening', ' deep adult standards', ' adult standards', 'vocal harmony group'}",4,690,2760
I Just Called To Say I Love You,"{'soul', ' motown', 'motown', ' soul'}",4,882,3528
Joy To The World,"{'heartland rock', ' soft rock', 'folk rock', ' classic rock', ' album rock', ' mellow gold', ' folk rock', ' heartland rock', ' country rock', ' hard rock'}",10,4153,41530
Hungry Like the Wolf - 2009 Remaster,"{' new romantic', 'new wave pop', ' rock', ' album rock', 'new wave', ' new wave pop', ' synthpop', ' new wave', ' soft rock', ' dance rock', ' classic rock'}",11,3828,42108
Numb Little Bug,"{'alt z', ' gen z singer-songwriter'}",2,4,8
Fill Me In,{'british soul'},1,8,8
Everything Changes,"{'christian music', ' classic praise'}",2,7,14
Hungry Heart,"{'heartland rock', ' rock', ' permanent wave', ' mellow gold', ' singer-songwriter'}",5,2258,11290
Touch Me In The Morning,"{' soft rock', 'soul', ' quiet storm', ' disco', ' motown', ' adult standards'}",6,2267,13602
In the Ayer (feat. will.I.am),"{' pop rap', 'dance pop', ' miami hip hop', ' pop'}",4,1371,5484
It Was I,,0,0,0
Let Me Love You (Until You Learn To Love Yourself),"{' urban contemporary', ' r&b', 'urban contemporary', ' pop', ' dance pop', 'pop'}",6,3072,18432
(Last Night) I Didn't Get To Sleep At All,"{' soft rock', ' adult standards', 'folk rock', ' sunshine pop', ' mellow gold', ' folk rock', ' singer-songwriter', ' motown', 'motown', ' bubblegum pop'}",10,3324,33240
A Love Song,"{'canadian country', ' soft rock', ' canadian pop', ' mellow gold', ' classic country pop', ' adult standards'}",6,2168,13008
Riders In the Sky,"{'swing', ' british dance band', ' deep adult standards', ' vaudeville'}",4,90,360
Roll With It,"{'heartland rock', ' soft rock', ' classic rock', ' album rock', ' mellow gold', ' folk rock', ' singer-songwriter'}",7,3661,25627
You Got It All,"{' freestyle', ' new wave pop', 'minneapolis sound'}",3,240,720
Fingers Crossed,"{'alt z', ' gen z singer-songwriter'}",2,4,8
Worth It (feat. Kid Ink),"{' trap', ' rap', 'southern hip hop', ' talent show', ' pop rap', ' pop', ' girl group'}",7,2127,14889
Pass The Dutchie,{'uk reggae'},1,1,1
Part-Time Love,{'soul blues'},1,2,2
Whatcha Gonna Do?,"{'soft rock', ' yacht rock'}",2,409,818
Come On-A My House,"{' easy listening', ' vocal jazz', ' torch song', 'adult standards'}",4,432,1728
Catch Us If You Can - 2019 - Remaster,"{'british invasion', ' merseybeat'}",2,145,290
Since U Been Gone,"{'talent show', ' talent show', ' pop', ' dance pop', 'pop'}",5,1772,8860
Dedicated To The One I Love,"{' classic girl group', ' rock-and-roll', 'doo-wop', ' motown', ' soul'}",5,995,4975
Good as You,"{' black americana', 'country road', ' country', ' contemporary country'}",4,462,1848
Where Or When,"{' doo-wop', ' rock-and-roll', ' brill building pop', 'rockabilly'}",4,591,2364
Until It Sleeps,"{'metal', ' thrash metal', ' rock', ' old school thrash', ' hard rock'}",5,949,4745
Papa Loves Mambo,"{'easy listening', 'adult standards', ' adult standards', ' easy listening'}",4,826,3304
The Way You Make Me Feel - 2012 Remaster,"{' r&b', 'soul'}",2,955,1910
Woah,"{' atl trap', ' rap', 'trap', ' atl hip hop'}",4,870,3480
Ronnie,"{' rock-and-roll', ' bubblegum pop', ' northern soul', 'lounge', ' doo-wop', ' adult standards', ' rockabilly'}",7,1243,8701
"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)","{'melodic rap', ' trap', ' r&b', ' rap', ' brooklyn drill'}",5,1646,8230
Essence (feat. Tems),"{' azontobeats', ' afropop', ' afrobeats', ' nigerian pop', ' alte', ' afro r&b', ' azonto', 'nigerian hip hop'}",8,22,176
Don't Bring Me Down (Karaoke in the style of Electric Light Orchestra),{'karaoke'},1,177,177
Ojitos Lindos,"{' cumbia', ' latin alternative', ' tropical alternativo', 'urbano latino', ' latin rock', ' trap latino', ' pop electronico', ' reggaeton'}",8,56,448
Cotton Candy,"{'new orleans jazz', ' jazz trumpet', ' space age pop', ' easy listening', ' dixieland'}",5,226,1130
The Gambler,"{'country', ' classic country pop', ' nashville sound'}",3,139,417
Boogie Fever,"{' disco', 'classic soul'}",2,390,780
Beauty Is Only Skin Deep - Mono SIngle,"{'memphis soul', ' memphis soul', ' motown', 'motown', ' soul'}",5,735,3675
Symphony,,0,0,0
The Wild Boys,"{' new romantic', 'new wave pop', ' rock', ' album rock', 'new wave', ' new wave pop', ' synthpop', ' new wave', ' soft rock', ' dance rock', ' classic rock'}",11,3828,42108
Después de la Playa,"{'urbano latino', ' trap latino', ' reggaeton'}",3,51,153
Take A Picture,"{' nu metal', ' alternative rock', ' grunge', ' post-grunge', 'industrial metal', ' alternative metal'}",6,215,1290
Turn Off The Light,"{' canadian latin', 'dance pop', ' canadian pop', ' pop'}",4,1105,4420
She Cried,"{' classic garage rock', ' rock-and-roll', 'doo-wop', ' bubblegum pop', ' merseybeat'}",5,784,3920
Think of Laura,"{' mellow gold', 'soft rock', ' yacht rock'}",3,1114,3342
Tequila,"{' country', 'country road', ' contemporary country'}",3,451,1353
Just the Way You Are,"{' pop', 'dance pop', ' dance pop', 'pop'}",4,2079,8316
Fools Rush In,"{' rock-and-roll', 'rock-and-roll', 'doo-wop', ' doo-wop', ' adult standards', ' rockabilly'}",6,1279,7674
Too Good At Goodbyes,"{' uk pop', 'pop'}",2,656,1312
Picture (feat. Sheryl Crow),"{' lilith', ' permanent wave', 'nu metal', ' pop rock', ' singer-songwriter', ' new wave pop'}",6,1020,6120
Here In My Heart,"{'adult standards', 'easy listening', ' adult standards', ' easy listening'}",4,826,3304
Heartbeat Song,"{'talent show', ' talent show', ' pop', ' dance pop', 'pop'}",5,1772,8860
When Smokey Sings,"{' synthpop', ' new romantic', 'new wave pop', ' new wave', ' dance rock', ' sophisti-pop'}",6,990,5940
I Knew You Were Trouble (Taylor's Version),{'pop'},1,588,588
My Sharona,"{'heartland rock', ' new wave', ' soft rock', ' classic rock', ' album rock', ' mellow gold', ' new wave pop', ' hard rock', ' power pop'}",9,3692,33228
Tall Paul,{'brill building pop'},1,8,8
What's on Your Mind (Pure Energy),"{' synthpop', ' new romantic', ' freestyle', 'new wave'}",4,534,2136
Everyday We Lit (feat. PnB Rock),"{'melodic rap', ' trap', ' rap', ' arkansas hip hop', ' memphis hip hop', ' atl hip hop', ' southern hip hop'}",7,1398,9786
Sorry,"{' canadian pop', 'pop'}",2,751,1502
"Take Me Home, Country Roads - Original Version","{' soft rock', 'folk rock', ' mellow gold', ' classic country pop', ' singer-songwriter', ' folk'}",6,2416,14496
Out of Limits,{'surf music'},1,13,13
1/2/2003,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' disco'}",5,1851,9255
Faded Pictures,"{' new jack swing', 'contemporary r&b', ' urban contemporary', ' r&b'}",4,1636,6544
Ring of Fire,"{'rock', ' outlaw country', ' arkansas country'}",3,164,492
Meet Me At Our Spot,"{' modern alternative pop', ' pov: indie', ' bedroom soul', ' pop', ' afrofuturism', 'post-teen pop'}",6,615,3690
Somebody's Knockin',{'classic country pop'},1,17,17
Beggin',"{' italian pop', ' indie rock italiano', 'pop'}",3,590,1770
This I Promise You,"{' boy band', ' pop', 'dance pop'}",3,1035,3105
HIGHEST IN THE ROOM,"{' hip hop', ' rap', 'slap house'}",3,1095,3285
Bus Stop,"{' soft rock', 'folk rock', ' classic rock', ' british invasion', ' album rock', ' mellow gold', ' merseybeat'}",7,3179,22253
Who Says You Can't Go Home,"{' glam metal', ' rock', ' country', 'country dawn', ' contemporary country', ' country road'}",6,1246,7476
Day 'N' Nite (nightmare),"{' hip hop', 'ohio hip hop', ' pop rap', ' rap'}",4,1469,5876
"Hey Look Ma, I Made It",{'pop'},1,588,588
Love Can Make You Happy,,0,0,0
I'll Make Love to You (Originally Performed by Boyz II Men) [Karaoke Version],,0,0,0
Cold Heart - PNAU Remix,"{' australian electropop', ' uk pop', ' pop', ' glam rock', ' rock', ' australian dance', ' piano rock', 'alternative dance', ' mellow gold', ' aussietronica', ' dance pop'}",11,2650,29150
Come Back When You Grow Up,"{' rock-and-roll', 'doo-wop', ' brill building pop', ' adult standards', ' rockabilly'}",5,1128,5640
telepatía,{'colombian pop'},1,2,2
Air King (with DJ Junior feat. Aurya),"{' taiwan electronic', 'slap house', ' uk dance'}",3,25,75
Sam's Song (The Happy Tune) - 1950 Single Version / With 1954 Spoken Introduction,"{'adult standards', ' lounge', ' easy listening'}",3,388,1164
Prayer for the Dying,{'british soul'},1,8,8
The Motto,"{' toronto rap', ' trap', ' rap', ' canadian hip hop', 'new orleans rap', ' hip hop', ' canadian pop', ' pop rap'}",8,2012,16096
Hello Muddah Hello Fadduh (A Letter from Camp Granada),{'comic'},1,2,2
My Lovin' (You're Never Gonna Get It),"{' urban contemporary', ' r&b', ' contemporary r&b', ' new jack swing', 'hip pop', ' girl group'}",6,2037,12222
Amanda,"{'glam metal', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' hard rock'}",7,3761,26327
Take My Heart (You Can Have It If You Want It),"{' funk', ' disco', 'motown', ' soul'}",4,972,3888
The One and Only,{'new wave pop'},1,302,302
It's All About Me - New R & B Remix,"{' urban contemporary', ' dirty south rap', ' r&b', ' contemporary r&b', 'hip pop'}",5,1907,9535
Sing For The Moment,"{' rap', ' hip hop', ' detroit hip hop', 'detroit hip hop', 'hip hop'}",5,1142,5710
Anaconda,"{' queens hip hop', ' rap', ' hip pop', 'pop'}",4,1367,5468
I'll Tumble 4 Ya,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' new wave', ' album rock'}",6,2237,13422
"Happy - From ""Despicable Me 2""","{' dance pop', 'pop'}",2,1142,2284
Love Hangover,"{' soft rock', 'soul', ' quiet storm', ' disco', ' motown', ' adult standards'}",6,2267,13602
It's Magic (with George Sirava and His Orchestra) - Version 1 - Take 6,"{'adult standards', ' vocal jazz', ' lounge', ' easy listening'}",4,489,1956
drivers license,{'pop'},1,588,588
"Shake It - Live, Brussels, 1979",{'british folk'},1,26,26
Sentimental Street,"{'heartland rock', ' soft rock', ' glam metal', ' classic rock', ' album rock', ' hard rock'}",6,2761,16566
April In Portugal,"{' library music', ' laboratorio', 'easy listening', ' exotica', ' lounge'}",5,179,895
I'm Every Woman (As Made Famous by Whitney Houston),{'karaoke'},1,177,177
Follow You Down - Edit,"{' tempe indie', ' permanent wave', 'post-grunge', ' pop rock'}",4,372,1488
Lady Madonna - Remastered 2015,"{' psychedelic rock', ' classic rock', ' rock', 'psychedelic rock', ' british invasion', ' beatlesque', 'rock', ' merseybeat'}",8,1926,15408
Right Now (Na Na Na),{'dance pop'},1,359,359
Love or Let Me Be Lonely,"{' classic soul', 'motown'}",2,334,668
Gotta Tell You,"{' bubblegum dance', 'talent show', ' europop'}",3,64,192
With Arms Wide Open,"{' nu metal', ' rock', 'post-grunge', ' alternative metal'}",4,771,3084
Breathe Again,"{' urban contemporary', ' r&b', 'contemporary r&b', ' dance pop'}",4,2003,8012
Me and Bobby McGee,"{' rock', 'psychedelic rock', ' classic rock', ' album rock', ' hard rock'}",5,2178,10890
Party All the Time,"{' comedy', 'black comedy'}",2,2,4
"Me, Myself & I","{' rap', ' indie pop rap', ' oakland hip hop', ' pop rap', ' dance pop', 'pop'}",6,2155,12930
Stay,"{' complextro', 'pop dance', ' canadian pop', ' edm', ' canadian contemporary r&b', ' pop', ' german techno'}",7,859,6013
I Want It That Way,"{' boy band', ' pop', 'dance pop'}",3,1035,3105
Heart Full of Soul - 2015 Remaster,"{' psychedelic rock', ' rock', ' british blues', ' album rock', ' singer-songwriter', ' hard rock', 'folk rock', ' classic rock', ' blues rock', ' british invasion', ' country rock'}",11,3471,38181
Wham Bam Shang-A-Lang,,0,0,0
Walk A Mile In My Shoes - 2002 Remaster / 24-Bit Mastering,{'bubblegum pop'},1,47,47
Lonely Ol' Night,"{'heartland rock', ' rock', ' album rock', ' folk rock', ' singer-songwriter', ' heartland rock', ' hard rock', 'soft rock', ' soft rock', ' classic rock', ' mellow gold', ' country rock'}",12,5212,62544
Leave Me Alone (Ruby Red Dress),"{' bubblegum pop', ' soft rock', 'mellow gold', ' adult standards'}",4,1406,5624
Another Night,"{' eurodance', 'german techno', ' diva house', ' hip house'}",4,85,340
Dakiti (Originally Performed by Bad Bunny & Jhay Cortez) [Instrumental Version],,0,0,0
Heaven,"{'heartland rock', 'soft rock', ' soft rock', ' classic canadian rock', ' canadian singer-songwriter', ' canadian pop', ' mellow gold', ' heartland rock'}",8,2368,18944
Black Balloon,"{' permanent wave', ' pop rock', ' post-grunge', 'neo mellow'}",4,476,1904
Wind Of Change,"{' german metal', ' rock', ' german rock', ' hard rock', ' german hard rock', 'album rock'}",6,972,5832
Love Lies (Tribute to Khalid and Normani),,0,0,0
Got Money,"{' urban contemporary', ' trap', ' r&b', ' rap', ' new orleans rap', 'gangster rap', ' hip hop', ' southern hip hop', ' pop rap', ' dance pop'}",10,4032,40320
Radar Love,"{' dutch prog', 'nederpop', ' album rock', ' dutch rock'}",4,559,2236
Come Over (feat. Tank),"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' dance pop'}",5,2272,11360
Black Cat,"{' urban contemporary', ' r&b', 'dance pop'}",3,1637,4911
Shivers,"{' uk pop', 'pop'}",2,656,1312
Lonely Blue Boy,"{'country rock', ' arkansas country', ' classic country pop', ' country'}",4,343,1372
High Hopes,{'pop'},1,588,588
My Oh My (feat. DaBaby),"{' rap', 'dance pop', ' north carolina hip hop', ' hip hop', ' pop'}",5,2034,10170
Radioactive,"{' modern rock', ' rock', 'pop'}",3,1295,3885
P.S. I Love You,"{' deep adult standards', 'vocal harmony group'}",2,63,126
Moment 4 Life,"{' toronto rap', ' queens hip hop', ' rap', ' canadian hip hop', ' hip hop', ' canadian pop', ' pop', 'hip pop'}",8,2147,17176
Nothing's Gonna Change My Love For You,,0,0,0
Mary Jane's Last Dance,"{'heartland rock', 'soft rock', ' soft rock', ' classic rock', ' rock', ' album rock', ' mellow gold', ' singer-songwriter', ' heartland rock', ' hard rock'}",10,4747,47470
Gotta Be Somebody,"{' canadian rock', 'alternative metal', 'post-grunge', ' post-grunge', ' alternative metal'}",5,234,1170
24K Magic,"{'dance pop', ' pop', ' dance pop', 'pop'}",4,2079,8316
Amnesia,"{' boy band', 'pop'}",2,686,1372
Heart of Gold (Arr. for Guitar),"{' rock', ' permanent wave', ' classic rock', ' classic canadian rock', ' canadian singer-songwriter', ' mellow gold', 'roots rock', ' singer-songwriter'}",8,2653,21224
Izzo (H.O.V.A.),"{' rap', 'gangster rap', ' east coast hip hop', ' hip hop', ' pop rap'}",5,1791,8955
Like I Love Country Music,"{' black americana', 'country road', ' country', ' contemporary country'}",4,462,1848
Shadow Dancing,"{' soft rock', 'mellow gold', ' disco'}",3,1131,3393
Barefoot Blue Jean Night,"{' country', 'country road', ' contemporary country'}",3,451,1353
Kodachrome,"{' soft rock', ' classic rock', ' permanent wave', ' mellow gold', ' folk rock', 'rock', ' singer-songwriter', ' folk'}",8,3333,26664
True - Single Edit,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' new wave', ' sophisti-pop'}",6,1724,10344
Mack the Knife,"{' rock-and-roll', ' easy listening', 'lounge', ' vocal jazz', 'adult standards', ' lounge', ' adult standards'}",7,1284,8988
Where Is the Love,"{' classic soul', 'soul', ' soft rock', ' southern soul', ' funk', ' quiet storm', ' disco', ' chicago soul', ' vocal jazz', ' neo soul', ' adult standards'}",11,2943,32373
